Flag,N,Rep,Tempo,RSS,Text,Cycles,Instructions,CacheReferences,CacheMisses,Branches,BranchMisses,L1Loads,L1LoadMisses,L2Access,L2Misses,L3Access,L3Misses
-O2,512,8,0.273885,18796,2633,1236810803,683849556,171839900,67313814,87522594,474599,140905720,72024898,71460985,29848127,NA,NA
-O2,512,9,0.287656,18836,2633,1298458662,686550322,176234779,67760599,86411363,509802,141826013,70943189,71744629,30834431,NA,NA
-O2,512,10,0.285892,19052,2633,1297559672,687184287,175679170,67727368,86599358,481702,141120275,70945202,71586805,31080631,NA,NA
-O2,512,11,0.291663,18824,2633,1318551170,658755671,171920087,68383296,86146245,740864,151091704,71894221,71754551,34169958,NA,NA
-O2,512,12,0.285959,18552,2633,1285629154,682518356,174235104,67361221,86799100,555981,142794855,71065473,71948281,31219225,NA,NA
-O2,512,13,0.266571,18780,2633,1179751712,683237502,173575919,67298794,86019445,513559,141550474,71134158,70963194,27305494,NA,NA
-O2,512,14,0.294454,19156,2633,1315134337,669814469,173450080,68338668,86320834,806936,149425608,71022608,71537200,33108764,NA,NA
-O2,512,15,0.285112,18924,2633,1294408648,690187600,176515313,67850910,86520487,524671,141129392,70502584,71683657,30508812,NA,NA
-O2,512,16,0.285381,18984,2633,1295921667,687198079,176110297,68063716,87048244,485410,141569685,70997458,71453852,31156840,NA,NA
-O2,512,17,0.285281,18944,2633,1288486421,658023463,175301963,68282015,87417057,694641,151094278,71205537,71163325,30346751,NA,NA
-O2,512,18,0.290617,19120,2633,1318336815,668019982,174221722,68652539,85946595,659515,147922224,71196238,71303454,34152734,NA,NA
-O2,512,19,0.291805,19004,2633,1320043511,667080437,171900064,67923771,86215345,600618,147647451,71827125,71849622,33230641,NA,NA
-O2,512,20,0.289730,18984,2633,1320827267,656524088,174566091,67798517,85629781,695093,151395881,71637511,71935949,31466893,NA,NA
-O2,512,21,0.286541,18928,2633,1300233759,684971953,172920846,67078562,86496042,516810,141232104,71454989,71893261,30822257,NA,NA
-O2,512,22,0.287396,18760,2633,1304425944,653426158,174442634,67950346,86563153,700048,151202089,70995923,71105408,31306856,NA,NA
