group1,group2,meandiff,p-adj,lower,upper,reject,Metrica,N
-O0,-Ofast,-113177.9333,0.0123,-209339.8382,-17016.0284,True,BranchMisses,512
-O1,-O2,-198755.3667,0.0,-294917.2716,-102593.4618,True,BranchMisses,512
-O1,-O3,-242428.9667,0.0,-338590.8716,-146267.0618,True,BranchMisses,512
-O1,-Ofast,-182581.0333,0.0,-278742.9382,-86419.1284,True,BranchMisses,512
-O2,-O3,-43673.6,0.7193,-139835.5049,52488.3049,False,BranchMisses,512
-O2,-Ofast,16174.3333,0.9903,-79987.5716,112336.2382,False,BranchMisses,512
-O3,-Ofast,59847.9333,0.4255,-36313.9716,156009.8382,False,BranchMisses,512
-O0,-O1,340849.8667,0.0003,124070.4921,557629.2412,True,BranchMisses,1024
-O0,-O2,-998608.7333,0.0,-1215388.1079,-781829.3588,True,BranchMisses,1024
-O0,-O3,-1147797.8667,0.0,-1364577.2412,-931018.4921,True,BranchMisses,1024
-O0,-Ofast,-1185416.0333,0.0,-1402195.4079,-968636.6588,True,BranchMisses,1024
-O1,-O2,-1339458.6,0.0,-1556237.9746,-1122679.2254,True,BranchMisses,1024
-O1,-O3,-1488647.7333,0.0,-1705427.1079,-1271868.3588,True,BranchMisses,1024
-O1,-Ofast,-1526265.9,0.0,-1743045.2746,-1309486.5254,True,BranchMisses,1024
-O2,-O3,-149189.1333,0.3214,-365968.5079,67590.2412,False,BranchMisses,1024
-O2,-Ofast,-186807.3,0.1266,-403586.6746,29972.0746,False,BranchMisses,1024
-O3,-Ofast,-37618.1667,0.9891,-254397.5412,179161.2079,False,BranchMisses,1024
-O0,-O1,12463323.0,0.0,11906686.2583,13019959.7417,True,BranchMisses,2048
-O0,-O2,-3207765.8,0.0,-3764402.5417,-2651129.0583,True,BranchMisses,2048
-O0,-O3,-3006805.8,0.0,-3563442.5417,-2450169.0583,True,BranchMisses,2048
-O0,-Ofast,-3251202.3,0.0,-3807839.0417,-2694565.5583,True,BranchMisses,2048
-O1,-O2,-15671088.8,0.0,-16227725.5417,-15114452.0583,True,BranchMisses,2048
-O1,-O3,-15470128.8,0.0,-16026765.5417,-14913492.0583,True,BranchMisses,2048
-O1,-Ofast,-15714525.3,0.0,-16271162.0417,-15157888.5583,True,BranchMisses,2048
-O2,-O3,200960.0,0.8421,-355676.7417,757596.7417,False,BranchMisses,2048
-O2,-Ofast,-43436.5,0.9994,-600073.2417,513200.2417,False,BranchMisses,2048
-O3,-Ofast,-244396.5,0.7238,-801033.2417,312240.2417,False,BranchMisses,2048
-O0,-O1,771713.2333,0.0,428409.2696,1115017.1971,True,L1LoadMisses,256
-O0,-O2,-8187200.8,0.0,-8530504.7637,-7843896.8363,True,L1LoadMisses,256
-O0,-O3,-8171732.5667,0.0,-8515036.5304,-7828428.6029,True,L1LoadMisses,256
-O0,-Ofast,-8113036.3667,0.0,-8456340.3304,-7769732.4029,True,L1LoadMisses,256
-O1,-O2,-8958914.0333,0.0,-9302217.9971,-8615610.0696,True,L1LoadMisses,256
-O1,-O3,-8943445.8,0.0,-9286749.7637,-8600141.8363,True,L1LoadMisses,256
-O1,-Ofast,-8884749.6,0.0,-9228053.5637,-8541445.6363,True,L1LoadMisses,256
-O2,-O3,15468.2333,0.9999,-327835.7304,358772.1971,False,L1LoadMisses,256
-O2,-Ofast,74164.4333,0.9754,-269139.5304,417468.3971,False,L1LoadMisses,256
-O3,-Ofast,58696.2,0.9897,-284607.7637,402000.1637,False,L1LoadMisses,256
-O0,-O1,2501422.6333,0.0,1709716.5131,3293128.7536,True,L1LoadMisses,512
-O0,-O2,-68234025.8,0.0,-69025731.9203,-67442319.6797,True,L1LoadMisses,512
